Poradi,Umelec,Pisen
1,Mňága a Žďorp,Písnička pro tebe,
2,Mňága a Žďorp,Nejlíp jim bylo,
3,Mig 21,Kalhotky si sundej,
4,Mig 21,Chci Ti říct,
5,Lucie,Amerika,
6,Lucie,Chci zas v Tobě spát,
7,Lucie,Černí Andělé,
8,Buty,František Víškterý,
9,Buty,Ruka,
10,Buty,Koně,
11,Chinaski,Dlouhej kouř,
12,Chinaski,První signální,
13,Wohnout,Svaz českých bohémů,
14,Barbora Poláková,Nafrněná,
15,Ewa Farna,Teenage Superstar,
